Country,Port Frequency,Connections,Routes Count,Service Providers
Papua New Guinea,48,4,16,8
New Caledonia,31,6,27,10
Fiji,100,12,50,13
Vanuatu,43,5,23,7
Solomon Islands,18,5,18,9
French Polynesia,26,7,25,10
Samoa,38,7,35,10
American Samoa,29,7,27,9
Guam,11,4,8,4
Northern Mariana Islands,9,2,6,4
Tonga,37,7,27,9
Kiribati,19,9,13,5
Marshall Islands,17,4,11,6
Cook Islands,14,5,7,5
Niue,4,3,3,3
Wallis & Futuna,14,2,7,2
Micronesia,25,5,10,4
Palau,4,2,4,3
Nauru,5,1,4,2
Tokelau,3,1,1,1
Pitcairn Islands,1,0,1,1
